,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_degree,param_gamma,param_kernel,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
120,0.04033335049947103,0.0004713141679983425,0.021000067392985027,0.0014143358444295747,1,8,1e-06,linear,"{'C': 1, 'degree': 8, 'gamma': 1e-06, 'kernel': 'linear'}",0.9712389380530974,0.9755011135857461,0.984304932735426,0.9769858945805494,0.00543639463011057,46,1.0,1.0,1.0,1.0,0.0
117,0.04000004132588705,1.1239159602905075e-07,0.020333290100097656,0.00047137035374583886,1,4,10.0,linear,"{'C': 1, 'degree': 4, 'gamma': 10.0, 'kernel': 'linear'}",0.9712389380530974,0.9755011135857461,0.984304932735426,0.9769858945805494,0.00543639463011057,46,1.0,1.0,1.0,1.0,0.0
114,0.03966673215230306,0.0009426845167186228,0.01899997393290202,1.1239159602905075e-07,1,4,1.0,linear,"{'C': 1, 'degree': 4, 'gamma': 1.0, 'kernel': 'linear'}",0.9712389380530974,0.9755011135857461,0.984304932735426,0.9769858945805494,0.00543639463011057,46,1.0,1.0,1.0,1.0,0.0
93,0.03899995485941569,0.0008165347377806026,0.019666592280069988,0.0004714827453418679,1,1,0.0001,linear,"{'C': 1, 'degree': 1, 'gamma': 0.0001, 'kernel': 'linear'}",0.9712389380530974,0.9755011135857461,0.984304932735426,0.9769858945805494,0.00543639463011057,46,1.0,1.0,1.0,1.0,0.0
111,0.050333261489868164,0.015326156706176368,0.024666706720987957,0.005906814217951922,1,4,0.01,linear,"{'C': 1, 'degree': 4, 'gamma': 0.01, 'kernel': 'linear'}",0.9712389380530974,0.9755011135857461,0.984304932735426,0.9769858945805494,0.00543639463011057,46,1.0,1.0,1.0,1.0,0.0
96,0.04333337148030599,0.0032998734566464395,0.03133328755696615,0.014613604882081296,1,1,0.01,linear,"{'C': 1, 'degree': 1, 'gamma': 0.01, 'kernel': 'linear'}",0.9712389380530974,0.9755011135857461,0.984304932735426,0.9769858945805494,0.00543639463011057,46,1.0,1.0,1.0,1.0,0.0
159,0.039999961853027344,0.0021602742712654127,0.019666671752929688,0.00047137035374583886,1000.0,4,1.0,linear,"{'C': 1000.0, 'degree': 4, 'gamma': 1.0, 'kernel': 'linear'}",0.9712389380530974,0.9755011135857461,0.984304932735426,0.9769858945805494,0.00543639463011057,46,1.0,1.0,1.0,1.0,0.0
105,0.04333329200744629,0.003399427265405092,0.020333290100097656,0.00047137035374583886,1,4,1e-06,linear,"{'C': 1, 'degree': 4, 'gamma': 1e-06, 'kernel': 'linear'}",0.9712389380530974,0.9755011135857461,0.984304932735426,0.9769858945805494,0.00543639463011057,46,1.0,1.0,1.0,1.0,0.0
99,0.040999968846639,0.0008165347377806026,0.020333369572957356,0.0012472349320385085,1,1,1.0,linear,"{'C': 1, 'degree': 1, 'gamma': 1.0, 'kernel': 'linear'}",0.9712389380530974,0.9755011135857461,0.984304932735426,0.9769858945805494,0.00543639463011057,46,1.0,1.0,1.0,1.0,0.0
103,0.04266667366027832,0.00047137035374583886,0.021666606267293293,0.00047142655959197545,1,1,10.0,poly,"{'C': 1, 'degree': 1, 'gamma': 10.0, 'kernel': 'poly'}",0.9712389380530974,0.9755011135857461,0.984304932735426,0.9769858945805494,0.00543639463011057,46,1.0,1.0,1.0,1.0,0.0
102,0.04033335049947103,0.0009427969083140529,0.021666606267293293,0.0009428530990877068,1,1,10.0,linear,"{'C': 1, 'degree': 1, 'gamma': 10.0, 'kernel': 'linear'}",0.9712389380530974,0.9755011135857461,0.984304932735426,0.9769858945805494,0.00543639463011057,46,1.0,1.0,1.0,1.0,0.0
162,0.04666654268900553,0.008730462463238156,0.02033344904581706,0.0009428531191839509,1000.0,4,10.0,linear,"{'C': 1000.0, 'degree': 4, 'gamma': 10.0, 'kernel': 'linear'}",0.9712389380530974,0.9755011135857461,0.984304932735426,0.9769858945805494,0.00543639463011057,46,1.0,1.0,1.0,1.0,0.0
